Running training with line graph partitions
Simulated graph file doesn't exist, generating file...
Generating graphs...
Graphs generated
Generating line graphs...
105/1000 done, time: 9.671210050582886, etr: 8675.075415372849
106/1000 done, time: 9.859120607376099, etr: 8833.772064208984
107/1000 done, time: 9.840606689453125, etr: 8807.342987060547
108/1000 done, time: 9.714949131011963, etr: 8685.164523124695
109/1000 done, time: 9.72721815109253, etr: 8686.405808925629
110/1000 done, time: 9.707101106643677, etr: 8658.73418712616
111/1000 done, time: 9.65921688079834, etr: 8606.36224079132
112/1000 done, time: 9.643630266189575, etr: 8582.830936908722
113/1000 done, time: 9.618977785110474, etr: 8551.271250963211
114/1000 done, time: 9.651243209838867, etr: 8570.303970336914
115/1000 done, time: 9.674805879592896, etr: 8581.552815198898
116/1000 done, time: 9.7002112865448, etr: 8594.387199878693
117/1000 done, time: 9.774382591247559, etr: 8650.32859325409
118/1000 done, time: 9.716355800628662, etr: 8589.258527755737
119/1000 done, time: 9.65051555633545, etr: 8521.405236244202
120/1000 done, time: 9.670681476593018, etr: 8529.541062355042
121/1000 done, time: 9.752875328063965, etr: 8592.283164024353
122/1000 done, time: 9.575551509857178, etr: 8426.485328674316
123/1000 done, time: 9.584993124008179, etr: 8425.208956003189
124/1000 done, time: 9.776897192001343, etr: 8584.115734577179
125/1000 done, time: 9.652195453643799, etr: 8464.975412845612
126/1000 done, time: 9.695667266845703, etr: 8493.404525756836
127/1000 done, time: 9.877641201019287, etr: 8642.936050891876
128/1000 done, time: 9.713220834732056, etr: 8489.355009555817
129/1000 done, time: 9.75039005279541, etr: 8512.090516090393
130/1000 done, time: 9.753738641738892, etr: 8505.260095596313
131/1000 done, time: 9.742204427719116, etr: 8485.46005654335
132/1000 done, time: 9.696221351623535, etr: 8435.712575912476
133/1000 done, time: 9.795400619506836, etr: 8512.20313835144
134/1000 done, time: 9.54192066192627, etr: 8282.387134552002
135/1000 done, time: 9.521999597549438, etr: 8255.573651075363
136/1000 done, time: 9.756056785583496, etr: 8448.745176315308
137/1000 done, time: 9.717573165893555, etr: 8405.700788497925
138/1000 done, time: 9.621598958969116, etr: 8313.061500549316
139/1000 done, time: 9.705963850021362, etr: 8376.246802568436
140/1000 done, time: 9.626224994659424, etr: 8297.805945396423
141/1000 done, time: 9.640331506729126, etr: 8300.325427293777
142/1000 done, time: 9.75252890586853, etr: 8387.174859046936
143/1000 done, time: 9.598312139511108, etr: 8244.950127840042
144/1000 done, time: 9.708959102630615, etr: 8330.286910057068
145/1000 done, time: 9.658241748809814, etr: 8277.113178730011
146/1000 done, time: 9.691169738769531, etr: 8295.641296386719
147/1000 done, time: 9.581627130508423, etr: 8192.291196584702
148/1000 done, time: 9.613454818725586, etr: 8209.89041519165
149/1000 done, time: 9.57265853881836, etr: 8165.477733612061
150/1000 done, time: 9.748142719268799, etr: 8305.417596817017
151/1000 done, time: 9.686067342758179, etr: 8242.84330868721
152/1000 done, time: 9.699675559997559, etr: 8244.724225997925
153/1000 done, time: 9.67612910270691, etr: 8215.033608198166
154/1000 done, time: 9.65667986869812, etr: 8188.864528656006
155/1000 done, time: 9.691733598709106, etr: 8208.898358106613
156/1000 done, time: 9.647994756698608, etr: 8162.203564167023
157/1000 done, time: 9.73161005973816, etr: 8223.210500478745
158/1000 done, time: 9.613401889801025, etr: 8113.711194992065
159/1000 done, time: 9.64019227027893, etr: 8126.682083845139
160/1000 done, time: 9.691344261169434, etr: 8160.111867904663
161/1000 done, time: 9.559678077697754, etr: 8039.689263343811
162/1000 done, time: 9.66410779953003, etr: 8117.850551605225
163/1000 done, time: 9.748615026473999, etr: 8179.088007211685
164/1000 done, time: 9.701247930526733, etr: 8129.645765781403
165/1000 done, time: 9.58636212348938, etr: 8023.785097360611
166/1000 done, time: 9.651039600372314, etr: 8068.269105911255
167/1000 done, time: 9.739064693450928, etr: 8132.119019031525
168/1000 done, time: 9.654675960540771, etr: 8051.999751091003
169/1000 done, time: 9.94211220741272, etr: 8281.779468774796
170/1000 done, time: 9.822606086730957, etr: 8172.408264160156
171/1000 done, time: 9.733871221542358, etr: 8088.8469851017
172/1000 done, time: 9.610833406448364, etr: 7976.991727352142
173/1000 done, time: 9.515416622161865, etr: 7888.280379772186
174/1000 done, time: 9.60003137588501, etr: 7948.825979232788
175/1000 done, time: 9.704230308532715, etr: 8025.398465156555
176/1000 done, time: 9.568897247314453, etr: 7903.909126281738
177/1000 done, time: 9.630699396133423, etr: 7945.327001810074
178/1000 done, time: 9.802117347717285, etr: 8076.944694519043
179/1000 done, time: 10.360467433929443, etr: 8526.664698123932
180/1000 done, time: 9.9771888256073, etr: 8201.2492146492
181/1000 done, time: 9.703123569488525, etr: 7966.264450550079
182/1000 done, time: 9.647201299667358, etr: 7910.705065727234
183/1000 done, time: 9.711845397949219, etr: 7954.00138092041
184/1000 done, time: 9.65420389175415, etr: 7897.138783454895
185/1000 done, time: 9.581106901168823, etr: 7827.764338254929
186/1000 done, time: 9.650216102600098, etr: 7874.57633972168
187/1000 done, time: 9.929216861724854, etr: 8092.311742305756
188/1000 done, time: 9.777420997619629, etr: 7958.820692062378
189/1000 done, time: 9.787439346313477, etr: 7957.188188552856
190/1000 done, time: 9.746572732925415, etr: 7914.217059135437
191/1000 done, time: 9.64737844467163, etr: 7824.023918628693
192/1000 done, time: 9.59171724319458, etr: 7769.29096698761
193/1000 done, time: 9.6808443069458, etr: 7831.803044319153
194/1000 done, time: 9.814852476119995, etr: 7930.400800704956
195/1000 done, time: 9.636302471160889, etr: 7776.496094226837
196/1000 done, time: 9.55367398262024, etr: 7700.261229991913
197/1000 done, time: 9.625091314315796, etr: 7748.198508024216
198/1000 done, time: 9.629369497299194, etr: 7742.013075828552
199/1000 done, time: 9.695975303649902, etr: 7785.868168830872
200/1000 done, time: 9.631986379623413, etr: 7724.853076457977
201/1000 done, time: 9.723770141601562, etr: 7788.739883422852
202/1000 done, time: 9.535009384155273, etr: 7628.007507324219
203/1000 done, time: 9.581006288528442, etr: 7655.2240245342255
204/1000 done, time: 9.656991720199585, etr: 7706.279392719269
205/1000 done, time: 9.684237718582153, etr: 7718.337461709976
206/1000 done, time: 9.662630081176758, etr: 7691.453544616699
207/1000 done, time: 9.724457502365112, etr: 7730.943714380264
208/1000 done, time: 9.654322862625122, etr: 7665.532352924347
209/1000 done, time: 9.580614805221558, etr: 7597.427540540695
210/1000 done, time: 9.487497329711914, etr: 7514.097885131836
211/1000 done, time: 9.695706844329834, etr: 7669.304113864899
212/1000 done, time: 9.533570289611816, etr: 7531.520528793335
213/1000 done, time: 9.612446069717407, etr: 7584.219949007034
214/1000 done, time: 9.561662912368774, etr: 7534.590374946594
215/1000 done, time: 9.621562480926514, etr: 7572.169672489166
216/1000 done, time: 9.5947904586792, etr: 7541.505300521851
217/1000 done, time: 9.731208086013794, etr: 7638.998347520828
218/1000 done, time: 9.710232973098755, etr: 7612.822650909424
219/1000 done, time: 9.633450508117676, etr: 7542.99174785614
220/1000 done, time: 9.8593111038208, etr: 7709.981283187866
221/1000 done, time: 9.672451496124268, etr: 7554.184618473053
222/1000 done, time: 9.596790313720703, etr: 7485.496444702148
223/1000 done, time: 9.582950353622437, etr: 7465.118325471878
224/1000 done, time: 9.746094703674316, etr: 7582.461679458618
225/1000 done, time: 9.648452520370483, etr: 7496.847608327866
226/1000 done, time: 9.68367600440979, etr: 7514.532579421997
227/1000 done, time: 9.887673377990723, etr: 7662.94686794281
228/1000 done, time: 9.903878927230835, etr: 7665.602289676666
229/1000 done, time: 9.718180894851685, etr: 7512.153831720352
230/1000 done, time: 9.793533563613892, etr: 7560.607911109924
231/1000 done, time: 9.634326696395874, etr: 7428.065882921219
232/1000 done, time: 9.792314052581787, etr: 7540.081820487976
233/1000 done, time: 9.771622896194458, etr: 7514.378007173538
234/1000 done, time: 9.623483896255493, etr: 7390.835632324219
235/1000 done, time: 9.672590017318726, etr: 7418.8765432834625
236/1000 done, time: 9.765894889831543, etr: 7480.675485610962
237/1000 done, time: 9.801963090896606, etr: 7498.501764535904
238/1000 done, time: 9.607944011688232, etr: 7340.46922492981
239/1000 done, time: 9.62312626838684, etr: 7342.44534277916
240/1000 done, time: 9.684216260910034, etr: 7379.372790813446
241/1000 done, time: 9.6425461769104, etr: 7337.977640628815
242/1000 done, time: 9.736313104629517, etr: 7399.597959518433
243/1000 done, time: 9.70591115951538, etr: 7366.786570072174
244/1000 done, time: 9.705291271209717, etr: 7356.610783576965
245/1000 done, time: 9.749110698699951, etr: 7380.076798915863
246/1000 done, time: 9.701822757720947, etr: 7334.578004837036
247/1000 done, time: 9.640078783035278, etr: 7278.259481191635
248/1000 done, time: 9.747838497161865, etr: 7349.870226860046
249/1000 done, time: 9.537238121032715, etr: 7181.540305137634
250/1000 done, time: 9.63819932937622, etr: 7247.925895690918
251/1000 done, time: 9.778251886367798, etr: 7343.467166662216
252/1000 done, time: 9.6364164352417, etr: 7227.312326431274
253/1000 done, time: 9.570090532302856, etr: 7167.9978086948395
254/1000 done, time: 9.67380952835083, etr: 7236.009527206421
255/1000 done, time: 9.625776052474976, etr: 7190.454711198807
256/1000 done, time: 9.637125253677368, etr: 7189.295439243317
257/1000 done, time: 9.675374269485474, etr: 7208.153830766678
258/1000 done, time: 9.757824182510376, etr: 7259.82119178772
259/1000 done, time: 9.641580820083618, etr: 7163.694549322128
260/1000 done, time: 9.770631074905396, etr: 7249.8082575798035
261/1000 done, time: 9.8052339553833, etr: 7265.678360939026
262/1000 done, time: 9.616996765136719, etr: 7116.577606201172
263/1000 done, time: 9.699460744857788, etr: 7167.901490449905
264/1000 done, time: 9.644516468048096, etr: 7117.653153419495
265/1000 done, time: 9.60734510421753, etr: 7080.613341808319
266/1000 done, time: 9.700108766555786, etr: 7139.280052185059
267/1000 done, time: 9.644320726394653, etr: 7088.57573390007
268/1000 done, time: 9.602896928787231, etr: 7048.526345729828
